id,set,label
0,train,0
1,train,0
2,train,2
3,test,0
4,train,2
5,train,0
6,train,2
7,train,2
8,test,3
9,train,2
10,train,3
11,train,0
12,train,1
13,train,2
14,test,3
15,train,0
16,train,0
17,train,0
18,test,3
19,train,0
20,test,0
21,train,2
22,test,0
23,train,3
24,test,2
25,train,0
26,test,0
27,train,2
28,train,3
29,train,0
30,train,0
31,train,0
32,test,0
33,train,0
34,train,0
35,train,0
36,train,0
37,train,3
38,test,0
39,train,0
40,train,0
41,train,0
42,train,0
43,train,0
44,train,0
45,test,0
46,test,2
47,train,2
48,train,0
49,train,0
50,train,0
51,train,0
52,test,2
53,train,0
54,train,0
55,train,0
56,train,0
57,train,0
58,train,0
59,train,0
60,train,0
61,train,0
62,train,0
63,train,0
64,train,0
65,train,0
66,train,0
67,train,0
68,test,0
69,train,0
70,train,0
71,train,0
72,train,0
73,train,1
74,train,0
75,test,3
76,train,0
77,test,0
78,train,0
79,train,0
80,train,0
81,test,3
82,train,0
83,train,3
84,train,2
85,test,0
86,train,0
87,train,0
88,test,3
89,test,2
90,test,1
91,train,3
92,train,0
93,train,0
94,train,3
95,train,2
96,train,0
97,test,0
98,test,0
99,train,0
100,train,3
101,train,0
102,train,0
103,train,0
104,train,1
105,train,0
106,train,0
107,test,0
108,train,0
109,train,0
110,train,3
111,test,0
112,test,0
113,train,3
114,train,0
115,train,0
116,train,0
117,train,3
118,train,3
119,test,0
120,train,0
121,train,0
122,train,0
123,train,0
124,train,0
125,train,0
126,train,0
127,train,0
128,train,2
129,train,0
130,train,0
131,train,3
132,train,3
133,train,3
134,train,3
135,test,0
136,train,3
137,train,0
138,train,3
139,train,0
140,train,2
141,train,2
142,test,2
143,test,1
144,train,0
145,train,1
146,train,2
147,train,2
148,test,0
149,train,2
150,train,3
151,train,0
152,train,0
153,train,0
154,train,0
155,train,0
156,train,0
157,train,0
158,train,1
159,test,0
160,train,0
161,train,0
162,train,0
163,train,0
164,test,3
165,train,0
166,train,1
167,train,0
168,train,3
169,train,2
170,test,0
171,train,0
172,train,0
173,train,0
174,train,0
175,test,0
176,train,1
177,train,0
178,train,0
179,train,0
180,train,2
181,train,0
182,train,3
183,train,0
184,train,3
185,train,0
186,train,0
187,test,0
188,test,0
189,test,3
190,train,0
191,train,0
192,train,0
193,train,0
194,train,0
195,train,3
196,test,0
197,train,0
198,train,2
199,train,2
200,train,3
201,train,0
202,train,0
203,train,3
204,train,2
205,test,0
206,train,0
207,test,0
208,train,0
209,train,3
210,train,3
211,train,0
212,test,0
213,train,0
214,test,0
215,train,2
216,train,0
217,test,0
218,train,0
219,train,0
220,test,0
221,train,3
222,train,0
223,test,2
224,train,0
225,train,0
226,train,0
227,test,0
228,train,0
229,train,3
230,test,0
231,train,0
232,train,0
233,train,1
234,train,2
235,train,3
236,train,0
237,test,0
238,train,0
239,test,0
240,train,3
241,test,0
242,test,0
243,train,0
244,train,0
245,train,0
246,train,0
247,train,1
248,train,0
249,train,0
250,train,2
251,train,0
252,train,0
253,train,0
254,train,3
255,train,0
256,test,0
257,train,0
258,train,0
259,train,2
260,train,0
261,test,0
262,train,3
263,test,0
264,train,3
265,train,0
266,train,0
267,train,0
268,train,0
269,test,2
270,train,0
271,train,0
272,train,0
273,test,2
274,test,3
275,train,0
276,train,3
277,train,3
278,train,0
279,test,0
280,test,0
281,train,1
282,train,3
283,test,0
284,test,0
285,test,0
286,train,0
287,train,0
288,train,0
289,test,0
290,train,0
291,train,0
292,train,0
293,train,2
294,train,2
295,train,0
296,train,0
297,test,0
298,train,0
299,train,2
300,train,0
301,test,3
302,test,0
303,test,0
304,train,0
305,train,3
306,train,0
307,train,0
308,test,0
309,train,0
310,train,3
311,train,2
312,test,2
313,train,3
314,train,0
315,train,3
316,train,0
317,train,3
318,test,0
319,test,3
320,train,3
321,train,0
322,train,0
323,train,0
324,train,0
325,test,0
326,test,3
327,test,3
328,train,0
329,train,0
330,train,0
331,test,1
332,train,0
333,train,0
334,train,0
335,train,2
336,train,0
337,test,0
338,test,0
339,train,0
340,train,3
341,train,0
342,train,0
343,train,2
344,train,0
345,train,3
346,train,0
347,test,0
348,train,0
349,train,0
350,test,0
351,train,0
352,test,0
353,train,0
354,train,0
355,train,0
356,train,2
357,test,0
358,train,2
359,train,3
360,train,2
361,train,3
362,train,3
363,train,0
364,train,0
365,train,3
366,train,0
367,train,0
368,test,0
369,train,0
370,train,3
371,train,0
372,train,3
373,train,0
374,train,3
375,train,0
376,train,0
377,train,2
378,train,3
379,train,0
380,train,2
381,train,3
382,train,3
383,test,0
384,train,0
385,test,0
386,train,3
387,train,3
388,train,0
389,train,1
390,train,2
391,train,0
392,train,2
393,train,3
394,test,3
395,train,0
396,train,0
397,train,3
398,train,0
399,train,1
400,train,0
401,train,2
402,train,0
403,train,0
404,train,0
405,train,0
406,test,3
407,train,3
408,train,0
409,train,1
410,train,0
411,train,0
412,train,0
413,train,0
414,train,2
415,train,0
416,test,3
417,train,3
418,train,0
419,test,0
420,train,0
421,train,0
422,train,2
423,train,0
424,train,0
425,train,2
426,train,3
427,test,0
428,test,0
429,test,3
430,train,0
431,train,0
432,train,3
433,test,1
434,test,2
435,test,3
436,train,0
437,train,0
438,test,0
439,train,3
440,train,0
441,train,3
442,train,0
443,train,0
444,train,0
445,train,0
446,train,0
447,test,0
448,train,0
449,train,0
450,train,0
451,train,0
452,train,1
453,train,0
454,train,0
455,test,0
456,test,0
457,test,3
458,train,0
459,train,2
460,train,0
461,test,3
462,test,3
463,train,0
464,train,0
465,test,0
466,train,0
467,train,0
468,test,3
469,train,0
470,train,0
471,train,0
472,train,0
473,train,0
474,train,0
475,train,0
476,train,0
477,train,0
478,train,0
479,train,1
480,test,0
481,test,2
482,train,0
483,train,0
484,train,3
485,train,3
486,train,2
487,train,0
488,train,0
489,train,3
490,train,1
491,train,2
492,train,0
493,train,0
494,train,0
495,test,0
496,train,0
497,train,0
498,test,0
499,train,0
500,train,0
501,train,2
502,train,0
503,train,0
504,test,3
505,train,2
506,test,0
507,train,0
508,train,2
509,train,3
510,test,0
511,train,3
512,train,0
513,test,2
514,test,0
515,train,0
516,train,0
517,train,0
518,train,2
519,train,0
520,train,2
521,train,0
522,train,0
523,train,2
524,test,3
525,train,0
526,train,0
527,train,0
528,test,0
529,train,0
530,test,0
531,train,3
532,train,0
533,train,2
534,train,0
535,train,0
536,train,0
537,train,0
538,train,2
539,test,3
540,test,0
541,train,3
542,train,0
543,train,0
544,train,3
545,train,0
546,train,2
547,train,3
548,train,2
549,train,0
550,test,0
551,test,0
552,train,1
553,test,0
554,train,2
555,test,3
556,train,0
557,train,0
558,train,1
559,train,2
560,test,0
561,train,0
562,train,2
563,test,0
564,train,2
565,train,2
566,train,3
567,train,0
568,test,3
569,test,0
570,train,0
571,train,0
572,test,0
573,train,0
574,train,0
575,train,0
576,train,3
577,train,0
578,train,0
579,train,0
580,train,2
581,train,0
582,train,0
583,train,2
584,train,3
585,test,0
586,train,1
587,train,0
588,train,0
589,train,2
590,train,3
591,train,0
592,train,0
593,test,0
594,test,0
595,train,0
596,train,0
597,train,0
598,train,2
599,test,2
600,train,0
601,train,2
602,train,0
603,train,2
604,train,0
605,train,0
606,train,3
607,train,3
608,train,0
609,train,2
610,train,0
611,test,0
612,train,2
613,train,0
614,train,2
615,test,0
616,train,0
617,test,2
618,test,0
619,train,0
620,test,0
621,train,0
622,train,2
623,train,0
624,train,3
625,train,0
626,train,2
627,train,3
628,train,0
629,train,0
630,test,0
631,train,3
632,train,0
633,test,3
634,train,2
635,train,0
636,train,2
637,train,0
638,train,1
639,train,0
640,test,0
641,train,0
642,train,0
643,train,0
644,train,0
645,train,2
646,train,0
647,train,0
648,train,0
649,train,0
650,train,0
651,train,0
652,train,0
653,train,0
654,train,0
655,train,0
656,train,0
657,train,1
658,train,0
659,train,0
660,train,3
661,train,2
662,train,0
663,train,2
664,train,0
665,train,0
666,train,0
667,train,1
668,train,0
669,train,0
670,train,0
671,train,0
672,train,0
673,train,0
674,train,2
675,train,0
676,test,0
677,train,0
678,train,0
679,train,0
680,train,2
681,test,3
682,train,0
683,train,2
684,train,0
685,train,0
686,test,0
687,train,0
688,train,0
689,train,0
690,train,0
691,train,0
692,train,0
693,train,0
694,train,3
695,test,3
